省份,区站号,站名,纬度,经度
安徽,58015,砀山,34.45,116.33
安徽,58016,萧县,34.18,116.97
安徽,58102,亳州,33.87,115.77
安徽,58107,临泉,33.02,115.28
安徽,58108,界首,33.23,115.33
安徽,58109,太和,33.18,115.62
安徽,58112,天柱山,30.73,116.45
安徽,58113,濉溪,33.93,116.75
安徽,58114,涡阳,33.48,116.18
安徽,58116,淮北,33.98,116.83
安徽,58117,利辛,33.13,116.2
安徽,58118,蒙城,33.27,116.52
安徽,58122,宿州,33.63,116.98
安徽,58125,灵璧,33.58,117.52
安徽,58126,泗县,33.47,117.87
安徽,58127,怀远,32.98,117.2
安徽,58128,固镇,33.33,117.35
安徽,58129,五河,33.15,117.83
安徽,58202,阜南,32.67,115.57
安徽,58203,阜阳,32.87,115.73
安徽,58210,颍上,32.65,116.23
安徽,58212,凤台,32.72,116.77
安徽,58214,霍邱,32.33,116.28
安徽,58215,寿县,32.43,116.78
安徽,58220,长丰,32.47,117.15
安徽,58221,蚌埠,32.85,117.3
安徽,58222,凤阳,32.85,117.55
安徽,58223,明光,32.8,117.98
安徽,58224,淮南,32.65,117.02
安徽,58225,定远,32.53,117.67
安徽,58234,来安,32.47,118.42
安徽,58236,滁州,32.35,118.25
安徽,58240,天长,32.68,119.02
安徽,58306,金寨,31.68,115.88
安徽,58311,六安,31.73,116.5
安徽,58314,霍山,31.4,116.32
安徽,58316,舒城,31.47,116.92
安徽,58317,岳西,30.87,116.37
安徽,58319,桐城,31.07,116.95
安徽,58320,肥西,31.73,117.13
安徽,58321,合肥,31.78,117.3
安徽,58323,肥东,31.88,117.47
安徽,58326,巢湖,31.58,117.83
安徽,58327,庐江,31.27,117.28
安徽,58329,无为,31.33,117.87
安徽,58330,含山,31.75,118.08
安徽,58331,和县,31.73,118.37
安徽,58334,芜湖,31.38,118.37
安徽,58335,当涂,31.57,118.52
安徽,58336,马鞍山,31.7,118.57
安徽,58337,繁昌,31.08,118.18
安徽,58338,芜湖县,31.15,118.58
安徽,58417,宿松,30.17,116.13
安徽,58429,铜陵,30.98,117.85
安徽,58431,南陵,30.9,118.32
安徽,58432,泾县,30.68,118.4
安徽,58433,宣城,30.93,118.75
安徽,58435,旌德,30.3,118.53
安徽,58436,宁国,30.62,118.98
安徽,58437,黄山,30.13,118.15
安徽,58441,广德,30.87,119.42
安徽,58442,郎溪,31.17,119.18
安徽,58520,祁门,29.85,117.72
安徽,58523,黟县,29.93,117.93
安徽,58530,歙县,29.87,118.43
安徽,58531,屯溪,29.72,118.28
安徽,58534,休宁,29.78,118.18
北京,54398,顺义,40.13,116.62
北京,54399,海淀,39.98,116.28
北京,54406,延庆,40.45,115.97
北京,54416,密云,40.38,116.87
北京,54419,怀柔,40.37,116.63
北京,54421,密云上甸子,40.65,117.12
北京,54424,平谷,40.17,117.12
北京,54431,通州,39.92,116.63
北京,54433,朝阳,39.95,116.5
北京,54499,昌平,40.22,116.22
北京,54501,斋堂,39.97,115.68
北京,54505,门头沟,39.93,116.1
北京,54511,北京,39.8,116.47
北京,54513,石景山,39.95,116.2
北京,54514,丰台,39.87,116.25
北京,54594,大兴,39.72,116.35
北京,54596,房山,39.77,116.2
北京,54597,霞云岭,39.73,115.73
福建,58724,光泽,27.53,117.32
福建,58725,邵武,27.33,117.47
福建,58730,武夷山,27.77,118.03
福建,58731,浦城,27.92,118.53
福建,58734,建阳,27.33,118.12
福建,58735,松溪,27.52,118.75
福建,58736,政和,27.38,118.82
福建,58737,建瓯,27.05,118.32
福建,58744,寿宁,27.45,119.42
福建,58747,周宁,27.15,119.35
福建,58748,福安,27.1,119.65
福建,58749,柘荣,27.23,119.88
福建,58754,福鼎,27.33,120.2
福建,58818,宁化,26.23,116.63
福建,58819,清流,26.18,116.82
福建,58820,泰宁,26.9,117.17
福建,58822,建宁,26.83,116.85
福建,58823,顺昌,26.8,117.8
福建,58824,明溪,26.4,117.15
福建,58826,沙县,26.4,117.8
福建,58828,三明,26.27,117.62
福建,58836,古田,26.58,118.73
福建,58837,尤溪,26.15,118.15
福建,58839,闽清,26.23,118.85
福建,58843,霞浦,26.88,120.02
福建,58844,闽侯,26.15,119.15
福建,58845,罗源,26.5,119.53
福建,58846,宁德,26.67,119.52
福建,58847,福州,26.08,119.28
福建,58848,连江,26.2,119.55
福建,58850,三沙,26.92,120.23
福建,58911,长汀,25.85,116.37
福建,58917,武平,25.08,116.1
福建,58918,上杭,25.05,116.42
福建,58923,大田,25.7,117.83
福建,58926,漳平,25.3,117.42
福建,58927,龙岩,25.05,117.02
福建,58928,华安,25.02,117.53
福建,58929,安溪,25.07,118.15
福建,58931,九仙山,25.72,118.1
福建,58932,永泰,25.87,118.93
福建,58934,永春,25.33,118.27
福建,58935,德化,25.48,118.23
福建,58938,秀屿,25.23,118.98
福建,58941,长乐,25.97,119.5
福建,58942,福清,25.72,119.38
福建,58944,平潭,25.52,119.78
福建,58946,莆田,25.45,119.0
福建,59113,永定,24.73,116.72
福建,59122,长泰,24.62,117.75
福建,59124,南靖,24.52,117.38
福建,59125,平和,24.38,117.3
福建,59127,龙海,24.43,117.83
福建,59129,漳浦,24.13,117.6
福建,59130,同安,24.73,118.15
福建,59131,南安,24.97,118.37
福建,59133,崇武,24.9,118.92
福建,59134,厦门,24.48,118.07
福建,59320,诏安,23.75,117.13
福建,59322,云霄,23.98,117.37
甘肃,52323,马鬃山,41.8,97.03
甘肃,52515,肃北,39.52,94.87
甘肃,52533,酒泉,39.77,98.48
甘肃,52546,高台,39.37,99.83
甘肃,52557,临泽,39.15,100.17
甘肃,52643,肃南,38.83,99.62
甘肃,52652,张掖,39.08,100.28
甘肃,52656,民乐,38.43,100.82
甘肃,52674,永昌,38.23,101.97
甘肃,52679,武威,37.92,102.67
甘肃,52681,民勤,38.63,103.08
甘肃,52784,古浪,37.47,102.9
甘肃,52787,乌鞘岭,37.2,102.87
甘肃,52797,景泰,37.18,104.05
甘肃,52881,天祝,36.98,103.18
甘肃,52884,皋兰,36.35,103.95
甘肃,52885,永登,36.75,103.25
甘肃,52895,靖远,36.57,104.68
甘肃,52896,白银,36.55,104.15
甘肃,52978,夏河,35.2,102.52
甘肃,52980,永靖,35.97,103.3
甘肃,52981,东乡,35.68,103.38
甘肃,52982,广河,35.48,103.55
甘肃,52983,榆中,35.87,104.15
甘肃,52984,临夏,35.58,103.18
甘肃,52985,和政,35.42,103.33
甘肃,52986,临洮,35.37,103.87
甘肃,52988,康乐,35.37,103.72
甘肃,52993,会宁,35.68,105.07
甘肃,52995,安定,35.58,104.62
甘肃,52996,华家岭,35.38,105.02
甘肃,52998,渭源,35.13,104.2
甘肃,53821,环县,36.57,107.3
甘肃,53829,庆城,35.98,107.9
甘肃,53906,静宁,35.52,105.72
甘肃,53908,通渭,35.22,105.23
甘肃,53915,崆峒,35.55,106.67
甘肃,53917,庄浪,35.22,106.07
甘肃,53923,西峰,35.73,107.63
甘肃,53924,灵台,35.07,107.62
甘肃,53925,镇原,35.68,107.18
甘肃,53926,泾川,35.35,107.35
甘肃,53927,华亭,35.2,106.62
甘肃,53928,崇信,35.3,107.02
甘肃,53930,华池,36.45,107.98
甘肃,53934,合水,35.78,107.98
甘肃,53935,正宁,35.48,108.4
甘肃,53937,宁县,35.52,107.92
甘肃,56071,碌曲,34.58,102.5
甘肃,56074,玛曲,34.0,102.08
甘肃,56080,合作,35.0,102.9
甘肃,56081,临潭,34.7,103.35
甘肃,56082,卓尼,34.58,103.5
甘肃,56084,迭部,34.07,103.23
甘肃,56091,漳县,34.85,104.47
甘肃,56092,陇西,35.0,104.65
甘肃,56093,岷县,34.43,104.02
甘肃,56094,舟曲,33.78,104.37
甘肃,56095,宕昌,34.03,104.38
甘肃,56096,武都,33.4,104.92
甘肃,56192,文县,32.95,104.67
甘肃,57001,甘谷,34.75,105.33
甘肃,57002,秦安,34.85,105.65
甘肃,57004,武山,34.73,104.88
甘肃,57006,天水,34.58,105.75
甘肃,57007,礼县,34.18,105.18
甘肃,57008,西和,34.03,105.3
甘肃,57011,清水,34.75,106.15
甘肃,57012,张家川,34.98,106.2
甘肃,57014,麦积,34.57,105.87
甘肃,57102,成县,33.75,105.72
甘肃,57105,康县,33.33,105.6
甘肃,57110,徽县,33.78,106.08
甘肃,57111,两当,33.92,106.3
广东,57988,乐昌,25.15,113.35
广东,57989,仁化,25.07,113.77
广东,57996,南雄,25.08,114.25
广东,59071,连南,24.73,112.28
广东,59072,连州,24.8,112.37
广东,59074,连山,24.57,112.15
广东,59075,阳山,24.48,112.63
广东,59081,乳源,24.78,113.28
广东,59082,韶关,24.67,113.6
广东,59087,佛冈,23.88,113.52
广东,59088,英德,24.18,113.42
广东,59090,始兴,24.95,114.07
广东,59094,翁源,24.35,114.12
广东,59096,连平,24.37,114.48
广东,59097,新丰,24.05,114.2
广东,59099,和平,24.45,114.93
广东,59106,平远,24.58,115.9
广东,59107,龙川,24.12,115.28
广东,59109,兴宁,24.15,115.73
广东,59114,蕉岭,24.65,116.17
广东,59116,大埔,24.33,116.7
广东,59117,梅县,24.28,116.07
广东,59264,封开,23.4,111.5
广东,59268,郁南,23.25,111.53
广东,59269,德庆,23.17,111.78
广东,59270,怀集,23.92,112.18
广东,59271,广宁,23.63,112.43
广东,59276,四会,23.35,112.65
广东,59278,高要,23.03,112.45
广东,59279,三水,23.18,112.87
广东,59280,清远,23.72,113.08
广东,59284,花都,23.42,113.23
广东,59285,从化,23.57,113.6
广东,59287,广州,23.22,113.48
广东,59288,南海,23.15,113.02
广东,59289,东莞,22.97,113.73
广东,59290,龙门,23.78,114.25
广东,59293,河源,23.8,114.73
